rank,run_name,model,best_test_acc,best_test_macro_f1,best_test_event_synops,final_test_acc,final_test_macro_f1,final_test_event_synops,status
23,dynsrm__id002__tr2p5__trefr12__vth1__lr0p001__a8__ig1p5__ls1p2,dynsrm,0.977,0.9768087357231596,77806931000.0,0.9762,0.9760194865906436,77806953500.0,DONE
24,alif__id006__tau3__vth0p3__lr0p0008__a6__ig0p8__ls1,alif,0.977,0.9768011464483012,77761521500.0,0.9755,0.975243684291808,77664488000.0,DONE
25,dynsrm__id045__tr3__trefr16__vth1__lr0p001__a4__ig1p5__ls1p2,dynsrm,0.9769,0.976762434171892,81689243000.0,0.9758,0.9756501593205325,81686556500.0,DONE
26,alif__id015__tau4__vth0p5__lr0p0005__a4__ig1p5__ls1,alif,0.9769,0.9767012637079616,80663075500.0,0.9757,0.9754918287657504,80654285500.0,DONE
27,srm__id020__tr2__trefr6__vth0p7__lr0p0008__a8__ig1__ls1,srm,0.9768,0.9767045254661464,77980877000.0,0.9756,0.9754813696411356,77946996000.0,DONE
28,dynsrm__id044__tr4__trefr10__vth1__lr0p0008__a4__ig1__ls0p8,dynsrm,0.9768,0.976670985855972,83562560000.0,0.9759,0.9757924921510888,83559784500.0,DONE
29,dynsrm__id017__tr2p5__trefr8__vth0p7__lr0p001__a8__ig1__ls1p2,dynsrm,0.9768,0.9766154082498486,77734972000.0,0.976,0.975852773863692,77731487000.0,DONE
30,dynsrm__id028__tr2__trefr8__vth0p3__lr0p001__a4__ig1__ls0p8,dynsrm,0.9767,0.976516534522764,80056952500.0,0.9764,0.9761992732582888,80058665000.0,DONE
31,srm__id038__tr4__trefr10__vth0p7__lr0p0005__a4__ig1__ls0p8,srm,0.9766,0.9764698417642638,83063985000.0,0.9756,0.9754650898683436,83055909000.0,DONE
32,srm__id027__tr2__trefr10__vth0p5__lr0p0008__a6__ig1p5__ls1,srm,0.9766,0.976462535178796,78773241000.0,0.976,0.9758515152317844,78713112500.0,DONE
33,dynsrm__id026__tr2__trefr10__vth1__lr0p0008__a8__ig1__ls1p2,dynsrm,0.9766,0.9764075791860934,78798725000.0,0.9766,0.9764213555079504,78772381500.0,DONE
34,srm__id036__tr3__trefr6__vth0p5__lr0p0008__a6__ig1__ls0p8,srm,0.9765,0.9762360596978972,78656757500.0,0.9749,0.9746616888880142,78618634000.0,DONE
35,srm__id024__tr1p5__trefr10__vth0p5__lr0p001__a8__ig1p5__ls1,srm,0.9763,0.976121008606352,77710037000.0,0.9751,0.9748909930240404,77684614500.0,DONE
36,dynsrm__id006__tr4__trefr6__vth1__lr0p001__a8__ig1p2__ls1,dynsrm,0.9762,0.9759952160353405,77725477000.0,0.9752,0.9750040496557008,77724699000.0,DONE
37,srm__id010__tr2__trefr12__vth0p5__lr0p0008__a4__ig1p2__ls1,srm,0.9761,0.975965687695231,82145279500.0,0.9757,0.9755144718002569,82138434000.0,DONE
38,srm__id039__tr1p5__trefr10__vth0p7__lr0p0008__a8__ig0p8__ls1,srm,0.976,0.975897420439554,79081171500.0,0.9746,0.9744338338984376,79068096500.0,DONE
39,lif__id029__tau4__vth0p3__lr0p0005__a4__ig0p8__ls0p8,lif,0.9759,0.9758120977352988,82574122000.0,0.9756,0.9754712158088024,82558197500.0,DONE
